R1010J,0,1000,227,2149,1742,870,1860
R1010J,0,1000,901,332,6185,1109,1970
R1010J,0,1000,26,101,1878,1442,2009
R1010J,1,1000,180,5712,1578,1343,2168
R1010J,1,1000,1149,1284,6173,1180,1752
R1010J,1,1000,107,300,1759,1099,2027
R1112M,0,500,30,409,760,243,675
R1112M,0,500,66,906,432,175,144
R1112M,0,500,220,351,1355,305,431
R1112M,1,500,14,770,920,210,423
R1112M,1,500,29,601,704,51,74
R1112M,1,500,355,665,1626,274,445
R1112M,2,500,263,0,404,142,197
R1112M,2,500,140,0,322,217,146
R1112M,2,500,79,0,582,63,211
